winner_faction;loser_faction;winner;loser;wins;losses;title;file
Undead;Loyalists;Dauntless;GaretJax;ladder for Dauntless;download-replay.php?reported_on=2013-02-05+18%3A42%3A51.xml
Northerners;Drakes;Fanjo;GaretJax;ladder game;download-replay.php?reported_on=2013-02-06+03%3A15%3A44.xml
Drakes;Rebels;Spelp;abhijit;LADDER vs Spelp - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-06+11%3A05%3A28.xml
Knalgan Alliance;Loyalists;enacui;Spelp;LADDER vs Spelp - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-06+16%3A04%3A16.xml
Knalgan Alliance;Rebels;GaretJax;Fanjo;ladder game;download-replay.php?reported_on=2013-02-07+04%3A38%3A11.xml
Loyalists;Northerners;Spelp;Fanjo;LADDER vs Spelp - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-07+13%3A21%3A45.xml
Knalgan Alliance;Undead;Spelp;abhijit;LADDER vs Spelp - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-07+15%3A26%3A48.xml
Northerners;Undead;GaretJax;Bast;ladder - register at http://wesnoth.gamingladder.info;download-replay.php?reported_on=2013-02-08+01%3A12%3A48.xml
Northerners;Knalgan Alliance;enacui;GaretJax;ladder - register at wesnoth.gamingladder.info;download-replay.php?reported_on=2013-02-08+04%3A53%3A44.xml
Northerners;Loyalists;enacui;GaretJax;ladder;download-replay.php?reported_on=2013-02-08+05%3A49%3A15.xml
Northerners;Rebels;enacui;Castoridae;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-02-08+13%3A24%3A34.xml
Northerners;Knalgan Alliance;Dauntless;enacui;Dauntlesss wesnoth.gamingladder.info game;download-replay.php?reported_on=2013-02-08+14%3A38%3A18.xml
Loyalists;Undead;Spelp;Cackfiend;LADDER vs Spelp - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-11+09%3A15%3A17.xml
Northerners;Drakes;Cackfiend;enacui;Ladder http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-12+06%3A24%3A39.xml
Undead;Northerners;Cackfiend;Bonobo;Ladder http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-12+07%3A08%3A27.xml
Rebels;Drakes;Spelp;Bonobo;LADDER vs Spelp - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-12+11%3A03%3A30.xml
Knalgan Alliance;Undead;Cackfiend;abhijit;Ladder Cackfiend vs abhijit http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-13+04%3A42%3A26.xml
Knalgan Alliance;Northerners;HODOR;enacui;LADDER HODOR!;download-replay.php?reported_on=2013-02-16+14%3A33%3A19.xml
Rebels;Knalgan Alliance;Cackfiend;Bast;Ladder Cackfiend vs Bast http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-17+06%3A25%3A26.xml
Knalgan Alliance;Rebels;HODOR;Tondo;Tondos ladder game;download-replay.php?reported_on=2013-02-17+17%3A16%3A10.xml
Drakes;Rebels;enacui;Cackfiend;Ladder Cackfiend vs enacui http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-18+07%3A41%3A45.xml
Northerners;Knalgan Alliance;Spelp;HODOR;LADDER vs Spelp - http://wesnoth.gamingladder.info;download-replay.php?reported_on=2013-02-18+15%3A03%3A48.xml
Loyalists;Knalgan Alliance;Cackfiend;abhijit;Ladder http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-19+06%3A55%3A08.xml
Undead;Drakes;Spelp;Fosprey;Ladder;download-replay.php?reported_on=2013-02-19+16%3A09%3A48.xml
Knalgan Alliance;Rebels;abhijit;Bast;ladder for abhijit;download-replay.php?reported_on=2013-02-21+06%3A18%3A19.xml
Northerners;Knalgan Alliance;abhijit;Bast;Ladder for abhijit;download-replay.php?reported_on=2013-02-21+10%3A05%3A07.xml
Rebels;Undead;Cackfiend;abhijit;Ladder http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-22+08%3A09%3A11.xml
Rebels;Drakes;suiren;Reqinek;Ladder;download-replay.php?reported_on=2013-02-23+09%3A44%3A18.xml
Rebels;Drakes;suiren;Kalisoo;Kalisoos Ladder 1850;download-replay.php?reported_on=2013-02-23+17%3A30%3A42.xml
Knalgan Alliance;Loyalists;Castoridae;The_Black_Sword;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-02-23+22%3A59%3A06.xml
Loyalists;Drakes;Cackfiend;GaretJax;Ladder http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-24+07%3A23%3A36.xml
Loyalists;Northerners;Cackfiend;suiren;Ladder http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-24+08%3A52%3A51.xml
Drakes;Rebels;hugho;Castoridae;(ladde) only players registered at http://wesnoth.gamingladder.info;download-replay.php?reported_on=2013-02-24+12%3A06%3A20.xml
Knalgan Alliance;Undead;GaretJax;Kalisooo;Kalisoos Ladder;download-replay.php?reported_on=2013-02-24+19%3A20%3A25.xml
Drakes;Loyalists;GaretJax;Kalisooo;ladder;download-replay.php?reported_on=2013-02-24+21%3A01%3A08.xml
Knalgan Alliance;Drakes;Spelp;Castoridae;LADDER vs Spelp - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-25+14%3A03%3A01.xml
Northerners;Loyalists;GaretJax;Undertaker;ladder for Undertaker;download-replay.php?reported_on=2013-02-25+20%3A21%3A58.xml
Drakes;Knalgan Alliance;Xplorer;GaretJax;ladder - wesnoth.gamingladder.info;download-replay.php?reported_on=2013-02-26+15%3A56%3A02.xml
Knalgan Alliance;Rebels;gamelle;Zorro;ladder game;download-replay.php?reported_on=2013-02-26+16%3A29%3A10.xml
Loyalists;Northerners;Cackfiend;abhijit;Ladder http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-27+08%3A51%3A18.xml
Loyalists;Northerners;GaretJax;Kalisoo;ladder - wesnoth.gamingladder.info;download-replay.php?reported_on=2013-02-27+21%3A52%3A26.xml
Rebels;Northerners;Bast;Maboul;Mabouls game - ladder for Bast;download-replay.php?reported_on=2013-02-27+22%3A17%3A38.xml
Northerners;Drakes;Cackfiend;abhijit;Ladder http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-28+07%3A51%3A00.xml
Undead;Undead;Tondo;GaretJax;ladder - wesnoth.gamingladder.info;download-replay.php?reported_on=2013-02-28+17%3A28%3A56.xml
Random;Random;suiren;gamelle;ladder;download-replay.php?reported_on=2013-03-01+17%3A37%3A06.xml
Undead;Drakes;Xplorer;Spelp;LADDER vs Spelp - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-01+18%3A08%3A41.xml
Northerners;Rebels;Cackfiend;abhijit;Ladder http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-02+07%3A47%3A39.xml
Drakes;Rebels;Bast;Dauntless;Dauntlesss ladder game;download-replay.php?reported_on=2013-03-02+16%3A21%3A47.xml
Random;Random;suiren;Bast;ladder;download-replay.php?reported_on=2013-03-02+21%3A58%3A47.xml
Random;Random;suiren;Bast;ladder;download-replay.php?reported_on=2013-03-03+17%3A04%3A27.xml
Loyalists;Drakes;GaretJax;Maboul;ladder - wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-03+21%3A43%3A57.xml
Northerners;Undead;GaretJax;Maboul;ladder for Maboul - wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-03+23%3A30%3A29.xml
Rebels;Undead;Cackfiend;GaretJax;ladder - wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-04+03%3A51%3A14.xml
Undead;Northerners;Cackfiend;GaretJax;Ladder http://wesnoth.gamingladder.info/ Cackfiend vs GaretJax;download-replay.php?reported_on=2013-03-04+04%3A22%3A51.xml
Drakes;Knalgan Alliance;Cackfiend;abhijit;Ladder http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-04+07%3A08%3A10.xml
Rebels;Undead;Spelp;abhijit;ladder - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-04+11%3A42%3A36.xml
Rebels;Loyalists;Bast;Undertaker;(L) Undertaker;download-replay.php?reported_on=2013-03-04+12%3A27%3A09.xml
Drakes;Drakes;SalsaRocoto;Fanjo;Ladder game;download-replay.php?reported_on=2013-03-04+14%3A40%3A14.xml
Random;Random;suiren;Bast;ladder;download-replay.php?reported_on=2013-03-04+17%3A31%3A36.xml
Drakes;Knalgan Alliance;Spelp;rebellofhell;LADDER - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-06+10%3A51%3A34.xml
Knalgan Alliance;Undead;HODOR;GaretJax;ladder - wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-06+16%3A12%3A01.xml
Random;Knalgan Alliance;suiren;HODOR;ladder;download-replay.php?reported_on=2013-03-06+19%3A20%3A36.xml
Undead;Rebels;Undertaker;abhijit;ladder for abhijit;download-replay.php?reported_on=2013-03-07+19%3A16%3A10.xml
Drakes;Undead;Castoridae;Kira1;wesnoth.gamingladder.info (for Kira1);download-replay.php?reported_on=2013-03-07+19%3A42%3A55.xml
Undead;Knalgan Alliance;nelson;GaretJax;ladder for GaretJax;download-replay.php?reported_on=2013-03-08+21%3A12%3A08.xml
Random;Random;Maboul;suiren;ladder;download-replay.php?reported_on=2013-03-08+23%3A31%3A23.xml
Northerners;Northerners;Stenen;GaretJax;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-09+00%3A52%3A35.xml
Random;Random;suiren;Undertaker;ladder for undertaker;download-replay.php?reported_on=2013-03-09+03%3A09%3A51.xml
Drakes;Knalgan Alliance;Stenen;GaretJax;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-09+03%3A51%3A18.xml
Random;Random;Cackfiend;suiren;ladder for cack;download-replay.php?reported_on=2013-03-09+07%3A06%3A20.xml
Drakes;Loyalists;Castoridae;Dauntless;wesnoth.gamingladder.info (for Dauntless);download-replay.php?reported_on=2013-03-09+20%3A25%3A05.xml
Drakes;Rebels;Maboul;Tondo;Mabouls game - ladder for Tondo;download-replay.php?reported_on=2013-03-09+23%3A31%3A45.xml
Rebels;Knalgan Alliance;GaretJax;Dauntless;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-10+03%3A08%3A05.xml
Loyalists;Knalgan Alliance;Cackfiend;plk2;Ladder Cackfiend vs plk2  http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-10+08%3A56%3A37.xml
Knalgan Alliance;Undead;Oook;Spelp;LADDER - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-10+19%3A00%3A16.xml
Northerners;Rebels;Dauntless;Spelp;ladder for Spelp;download-replay.php?reported_on=2013-03-10+20%3A53%3A49.xml
Northerners;Undead;Bast;Undertaker;(L) for Undertaker;download-replay.php?reported_on=2013-03-10+21%3A02%3A36.xml
Northerners;Undead;Bast;Maboul;(L) for Maboul rematch;download-replay.php?reported_on=2013-03-10+21%3A46%3A43.xml
Loyalists;Knalgan Alliance;Bast;Undertaker;Ladder rematch for Undertaker;download-replay.php?reported_on=2013-03-11+03%3A13%3A19.xml
Northerners;Undead;Cackfiend;Spelp;LADDER - Cackfiend vs Spelp - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-11+13%3A16%3A45.xml
Loyalists;Undead;Spelp;khiM;LADDER - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-12+11%3A59%3A03.xml
Rebels;Knalgan Alliance;Bast;GaretJax;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-13+02%3A27%3A33.xml
Loyalists;Rebels;Fanjo;Spelp;Ladder game;download-replay.php?reported_on=2013-03-13+17%3A49%3A13.xml
Loyalists;Northerners;GaretJax;Bast;ladder for Bast;download-replay.php?reported_on=2013-03-13+19%3A06%3A08.xml
Northerners;Rebels;Bast;GaretJax;wesnoth.gamingladder.info for Bast;download-replay.php?reported_on=2013-03-13+19%3A49%3A54.xml
Loyalists;Northerners;Bast;GaretJax;Ladder for GaretJax;download-replay.php?reported_on=2013-03-13+20%3A58%3A59.xml
Random;Random;suiren;Semler;ladder;download-replay.php?reported_on=2013-03-14+13%3A01%3A00.xml
Random;Random;suiren;Undertaker;ladder;download-replay.php?reported_on=2013-03-14+14%3A48%3A58.xml
Random;Random;Bast;Spelp;LADDER - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-14+19%3A19%3A56.xml
Drakes;Rebels;Undertaker;Castoridae;wesnoth.gamingladder.info (for Undertaker);download-replay.php?reported_on=2013-03-15+00%3A09%3A02.xml
Undead;Loyalists;Spelp;krack;LADDER - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-15+10%3A04%3A30.xml
Northerners;Rebels;suiren;nagafono;ladder(COB,HAM,HGB,TF,WC);download-replay.php?reported_on=2013-03-16+11%3A01%3A35.xml
Rebels;Undead;suiren;Semler;ladder;download-replay.php?reported_on=2013-03-16+12%3A05%3A18.xml
Drakes;Rebels;Bast;Undertaker;wesnoth.gamingladder.info reserved;download-replay.php?reported_on=2013-03-16+21%3A58%3A09.xml
Northerners;Loyalists;GaretJax;Mrzinzin;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-17+14%3A58%3A38.xml
Knalgan Alliance;Loyalists;hugho;Castoridae;(ladder) hugho vs. Castoridae;download-replay.php?reported_on=2013-03-17+16%3A43%3A38.xml
Loyalists;Northerners;GaretJax;Xplorer;Ladder game - Xplorer;download-replay.php?reported_on=2013-03-17+18%3A19%3A42.xml
Drakes;Undead;GaretJax;Bast;Ladder for GaretJax;download-replay.php?reported_on=2013-03-17+20%3A35%3A34.xml
Loyalists;Undead;Bast;GaretJax;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-18+06%3A44%3A17.xml
Drakes;Knalgan Alliance;Bast;Bonobo;Ladder for Bonobo;download-replay.php?reported_on=2013-03-18+08%3A04%3A12.xml
Knalgan Alliance;Rebels;Bast;Bonobo;Ladder for Bonobo - rematch ;download-replay.php?reported_on=2013-03-18+09%3A36%3A26.xml
Random;Random;Spelp;Dauntless_StPatrick;LADDER - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-18+14%3A15%3A26.xml
Northerners;Drakes;Xplorer;Semler;ladder;download-replay.php?reported_on=2013-03-18+17%3A45%3A22.xml
Drakes;Rebels;GaretJax;Danniel_BR;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-19+01%3A45%3A31.xml
Northerners;Loyalists;Bast;Undertaker;(L for Undertaker;download-replay.php?reported_on=2013-03-19+04%3A47%3A09.xml
Drakes;Loyalists;Bast;Undertaker;Ladder for Undertaker;download-replay.php?reported_on=2013-03-19+05%3A48%3A53.xml
Knalgan Alliance;Northerners;Spelp;Bonobo;LADDER - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-03-19+08%3A13%3A10.xml
Knalgan Alliance;Drakes;GaretJax;Undertaker;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-19+16%3A15%3A57.xml
Northerners;Knalgan Alliance;nelson;Fanjo;ladder game - must have account at  http://wesnoth.gamingladder.info to play;download-replay.php?reported_on=2013-03-20+04%3A16%3A17.xml
Loyalists;Knalgan Alliance;GaretJax;Bast;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-20+04%3A26%3A27.xml
Rebels;Northerners;suiren;Kira1;ladder(COB,HAM,HGB,TF,WC);download-replay.php?reported_on=2013-03-20+14%3A45%3A03.xml
Loyalists;Rebels;Glouk;GaretJax;Ladder game;download-replay.php?reported_on=2013-03-20+22%3A32%3A31.xml
Northerners;Loyalists;Bast;GaretJax;Ladder for GarretJax;download-replay.php?reported_on=2013-03-21+03%3A07%3A10.xml
Undead;Knalgan Alliance;GaretJax;Bast;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-21+04%3A41%3A09.xml
Knalgan Alliance;Rebels;GaretJax;Bast;wesnoth.gamingladder.info;download-replay.php?reported_on=2013-03-21+05%3A11%3A19.xml
Northerners;Drakes;Spelp;suiren;ladder(COB,HAM,HGB,TF,WC);download-replay.php?reported_on=2013-03-21+12%3A54%3A46.xml
Undead;Loyalists;Castoridae;gamelle;Ladder game;download-replay.php?reported_on=2013-03-21+20%3A17%3A32.xml
